date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:44:54%20GMT	https://www.shipito.com/fr/blog	D:/shipito/shipito/www.shipito.com/fr/blog	(from https://www.shipito.com/fr/help/postage)
14:44:56	13084/13084	---MCZ	200	added ('OK')	text/css	etag:W/%2217546-1702944701000%22	https://www.shipito.com/styles/v2/prohibited-items.css	D:/shipito/shipito/www.shipito.com/styles/v2/prohibited-items.css	(from https://www.shipito.com/fr/help/tutorials/prohibited-items)
14:44:56	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:44:55%20GMT	https://www.shipito.com/fr/blog	D:/shipito/shipito/www.shipito.com/fr/blog	(from https://www.shipito.com/fr/help/tutorials/prohibited-items)
14:44:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:44:56%20GMT	https://www.shipito.com/fr/shipito-forwarding-service	D:/shipito/shipito/www.shipito.com/fr/shipito-forwarding-service	(from https://www.shipito.com/fr/help/tutorials/prohibited-items)
14:44:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:44:56%20GMT	https://www.shipito.com/fr/blog	D:/shipito/shipito/www.shipito.com/fr/blog	(from https://www.shipito.com/fr/help/tutorials/prohibited-items)
14:44:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:44:56%20GMT	https://www.shipito.com/fr/newsroom	D:/shipito/shipito/www.shipito.com/fr/newsroom	(from https://www.shipito.com/fr/help/tutorials/prohibited-items)
14:44:58	1566/1566	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Jan%202024%2013:44:57%20GMT	https://www.shipito.com/fr/imgs/prohibited/X.svg	D:/shipito/shipito/www.shipito.com/fr/imgs/prohibited/X.svg	(from https://www.shipito.com/fr/help/tutorials/prohibited-items)
14:44:58	1376/1376	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Jan%202024%2013:44:57%20GMT	https://www.shipito.com/fr/imgs/prohibited/Checkmark.svg	D:/shipito/shipito/www.shipito.com/fr/imgs/prohibited/Checkmark.svg	(from https://www.shipito.com/fr/help/tutorials/prohibited-items)
14:44:59	107880/107880	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Jan%202024%2013:44:58%20GMT	https://www.shipito.com/fr/imgs/prohibited/AlcUSA.svg	D:/shipito/shipito/www.shipito.com/fr/imgs/prohibited/AlcoholProhibitionUSA_Rev%20(1).svg	(from https://www.shipito.com/fr/help/tutorials/prohibited-items)
14:44:59	17028/17028	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Jan%202024%2013:44:58%20GMT	https://www.shipito.com/fr/imgs/prohibited/AlcAU.svg	D:/shipito/shipito/www.shipito.com/fr/imgs/prohibited/AlcoholProhibitionAustria_Rev.svg	(from https://www.shipito.com/fr/help/tutorials/prohibited-items)
